"СIR","cir",
"OG","og",
"Век","xx",
"Год","yr",
"Публикация","pub",
"Форма прошлых публикаций","pubform",
"Наименование надписи","name",
"Практическая транскрипция","transcript",
"Местонахождение","place",
"Шифр места","ogl",
"Размеры носителя","dim",
"Тип памятника","objtype",
"Содержание надписи","genre",
"Материал носителя","mat",
"Способ изготовления","method",
"Резьба","carv",
"Техника врезной резьбы","carvcut","Тип врезной резьбы"
"Техника рельефной резьбы","carvrel","Тип рельефной резьбы"
"Тип письма","let",
"Вариация типа письма","letvar",
"Язык","lang",
"Орнамент","orn",
"Изображения","pict",
"Краска","paint","Окраска"
"Сохранность надписи","inscond",
"Сохранность носителя","objcond",
"Подлинность","orig",
"Шаблон","template",
"Документирование","doc",
"Операторы","operators",
"Авторы","authors",
"Статус","published",
