"CIR-код","cir"
"OG-код","og"
"Наименование","name"
"Местоположение","site"
"Местонахождение","place"
"Авторы","authors"
"Описание носителя","objdesc"
"Дополнительные данные","extra"
"Сведения о версиях документа","ver"
"Описание надписи","insdesc"
"Палеографический комментарий","com_paleo"
"Филологический комментарий","com_phil"
"Реально-исторический комментарий","com_hist"
"Текстологический комментарий","com_text"
"Датировка","dates"
"История памятника","history"
"Операторы документирования","operators"
"Особенности структуры","struct"
"Практическая транскрипция","transcript"
"Транскрипция надписи","script"
"Транскрипция","script"
"Документирование","doc"
"Полевое документирование","doc"
"Сведения о документировании","doc"
"Публикации","pubs"
"Сведения о публикациях","pubs"
"Перевод надписи","translation"
