"OGL","ogl",
"Объект","name",
"Населенный пункт","place",
"Регион","region","Область на 2020 год"
"Район","district",
"Уезд","county","Уезд на 1678 год"
"Историческое название района (для городов)","suburb",
"Монастырь","monastery",
"LAT","lat",
"LON","lon",
"Страна","country",
"Адрес","address",
"Съемка выполнена","shot",
"План","planned",
"Факт","fact",
"ГИС","gis",
"Проверка","checked",
"OG","og",
"CIR","cir",
"RUS","rus",
"UEG","ueg",
"Висяки","incompl",
"Комментарии","comments",
"Статус","completed",
"Комментарий","comment",
"Исполнитель","maker",
